EbN0_dB,BER
0.0,0.2640674603174603
1.0,0.24383730158730157
2.0,0.22039484126984127
3.0,0.1974404761904762
4.0,0.17536904761904762
5.0,0.15627380952380954
6.0,0.13545833333333332
7.0,0.11671825396825397
8.0,0.09915674603174603
9.0,0.08231150793650793
10.0,0.0662936507936508
11.0,0.05141468253968254
12.0,0.03724404761904762
13.0,0.026708333333333334
14.0,0.016990079365079364
15.0,0.010291666666666666
16.0,0.005680555555555556
17.0,0.002873015873015873
18.0,0.0012817460317460316
19.0,0.0004920634920634921
20.0,0.00014087301587301586
