EbN0_dB,BER
0.0,0.30510714285714285
1.0,0.28810267857142857
2.0,0.27098660714285716
3.0,0.25279761904761905
4.0,0.23296130952380953
5.0,0.21458333333333332
6.0,0.19573363095238094
7.0,0.17682886904761905
8.0,0.15843005952380954
9.0,0.1395
10.0,0.12407738095238095
11.0,0.10805803571428571
12.0,0.09245982142857143
13.0,0.07863095238095238
14.0,0.0650282738095238
15.0,0.052188988095238094
16.0,0.04061309523809524
17.0,0.029857142857142856
18.0,0.020802083333333332
19.0,0.013110119047619048
20.0,0.008095238095238095
