EbN0_dB,BER
0.0,0.3555922619047619
1.0,0.34169642857142857
2.0,0.3256636904761905
3.0,0.31049404761904764
4.0,0.29169940476190476
5.0,0.2753035714285714
6.0,0.2556160714285714
7.0,0.23957440476190475
8.0,0.22576785714285713
9.0,0.20947916666666666
10.0,0.1982857142857143
11.0,0.1842440476190476
12.0,0.17449107142857143
13.0,0.1680029761904762
14.0,0.15869642857142857
15.0,0.1540625
16.0,0.14692559523809523
17.0,0.14095833333333332
18.0,0.13686309523809523
19.0,0.13236607142857143
20.0,0.1291220238095238
