EbN0_dB,BER
0.0,0.352
1.0,0.3393541666666667
2.0,0.3217559523809524
3.0,0.30641666666666667
4.0,0.2885029761904762
5.0,0.2716607142857143
6.0,0.25757440476190474
7.0,0.24126785714285715
8.0,0.22638988095238094
9.0,0.21279761904761904
10.0,0.20016369047619048
11.0,0.1884107142857143
12.0,0.1784940476190476
13.0,0.16888988095238094
14.0,0.16069642857142857
15.0,0.1542797619047619
16.0,0.14814880952380952
17.0,0.14269940476190476
18.0,0.137125
19.0,0.13412202380952382
20.0,0.12986607142857143
