EbN0_dB,BER
0.0,0.33898214285714284
1.0,0.3222559523809524
2.0,0.303875
3.0,0.2824464285714286
4.0,0.26001785714285713
5.0,0.23736309523809523
6.0,0.21495238095238095
7.0,0.18988690476190476
8.0,0.169375
9.0,0.14611309523809524
10.0,0.12520833333333334
11.0,0.10729761904761904
12.0,0.09272619047619048
13.0,0.07834523809523809
14.0,0.06725595238095237
15.0,0.05657142857142857
16.0,0.05099404761904762
17.0,0.04638690476190476
18.0,0.03941666666666667
19.0,0.03422619047619048
20.0,0.029416666666666667
