EbN0_dB,BER
0.0,0.21232142857142858
1.0,0.18739583333333334
2.0,0.16179166666666667
3.0,0.13860714285714285
4.0,0.11664880952380953
5.0,0.09414583333333333
6.0,0.07534821428571428
7.0,0.0559672619047619
8.0,0.03881547619047619
9.0,0.02624107142857143
10.0,0.01581845238095238
11.0,0.008952380952380953
12.0,0.004309523809523809
13.0,0.0018571428571428571
14.0,0.0007767857142857142
15.0,0.00024107142857142857
16.0,6.547619047619048e-05
17.0,1.4880952380952381e-05
18.0,2.9761904761904763e-06
19.0,2.9761904761904763e-06
20.0,0.0
