EbN0_dB,BER
0.0,0.2650376984126984
1.0,0.24259523809523809
2.0,0.21919642857142857
3.0,0.19850992063492062
4.0,0.17566666666666667
5.0,0.15564880952380952
6.0,0.13607738095238095
7.0,0.11721825396825397
8.0,0.09784920634920635
9.0,0.08206746031746032
10.0,0.0661686507936508
11.0,0.051349206349206346
12.0,0.03801984126984127
13.0,0.02686111111111111
14.0,0.017265873015873016
15.0,0.010382936507936508
16.0,0.005585317460317461
17.0,0.0028472222222222223
18.0,0.0011984126984126984
19.0,0.0004742063492063492
20.0,0.00016468253968253969
