EbN0_dB,BER
0.0,0.30419196428571427
1.0,0.2877485119047619
2.0,0.26945833333333336
3.0,0.25245684523809525
4.0,0.23273660714285715
5.0,0.2147157738095238
6.0,0.19502083333333334
7.0,0.17706994047619048
8.0,0.1580610119047619
9.0,0.1400297619047619
10.0,0.12284523809523809
11.0,0.10754017857142857
12.0,0.0923125
13.0,0.07832291666666667
14.0,0.06410863095238095
15.0,0.05180357142857143
16.0,0.04016815476190476
17.0,0.02975892857142857
18.0,0.02071279761904762
19.0,0.01377529761904762
20.0,0.00837202380952381
