EbN0_dB,BER
0.0,0.4007380952380952
1.0,0.390766369047619
2.0,0.3805550595238095
3.0,0.3706517857142857
4.0,0.3609672619047619
5.0,0.35261309523809525
6.0,0.3436547619047619
7.0,0.33657738095238093
8.0,0.3291547619047619
9.0,0.32314732142857144
10.0,0.31753422619047617
11.0,0.31188839285714287
12.0,0.3075029761904762
13.0,0.30554464285714283
14.0,0.30139732142857145
15.0,0.29873214285714284
16.0,0.29673511904761907
17.0,0.2938720238095238
18.0,0.29266220238095236
19.0,0.2908110119047619
20.0,0.2901279761904762
