EbN0_dB,BER
0.0,0.3812083333333333
1.0,0.36984920634920637
2.0,0.35654960317460316
3.0,0.34355753968253966
4.0,0.332218253968254
5.0,0.3195892857142857
6.0,0.30524007936507935
7.0,0.29411309523809526
8.0,0.2823373015873016
9.0,0.273
10.0,0.26370436507936507
11.0,0.25632738095238095
12.0,0.25107738095238097
13.0,0.24531746031746032
14.0,0.24019444444444443
15.0,0.2352857142857143
16.0,0.23269642857142858
17.0,0.22853769841269841
18.0,0.22654960317460318
19.0,0.22381944444444443
20.0,0.22276190476190477
