EbN0_dB,BER
0.0,0.26540277777777777
1.0,0.24406944444444445
2.0,0.22017857142857142
3.0,0.19816865079365079
4.0,0.17646031746031746
5.0,0.1565734126984127
6.0,0.13611309523809523
7.0,0.11820039682539682
8.0,0.09932142857142857
9.0,0.08219642857142857
10.0,0.06697420634920635
11.0,0.05104563492063492
12.0,0.03841269841269841
13.0,0.027154761904761904
14.0,0.017509920634920635
15.0,0.010682539682539682
16.0,0.005861111111111111
17.0,0.002746031746031746
18.0,0.0012738095238095238
19.0,0.0003849206349206349
20.0,0.0001507936507936508
