EbN0_dB,BER
0.0,0.21858035714285715
1.0,0.19358630952380954
2.0,0.16770833333333332
3.0,0.14377380952380953
4.0,0.12059523809523809
5.0,0.09838095238095237
6.0,0.07676488095238095
7.0,0.05733333333333333
8.0,0.04020535714285714
9.0,0.02713095238095238
10.0,0.01699107142857143
11.0,0.008848214285714286
12.0,0.0048095238095238095
13.0,0.002142857142857143
14.0,0.0007261904761904762
15.0,0.00023511904761904762
16.0,6.845238095238096e-05
17.0,1.1904761904761905e-05
18.0,2.9761904761904763e-06
19.0,0.0
20.0,0.0
