EbN0_dB,BER
0.0,0.3791309523809524
1.0,0.3665634920634921
2.0,0.3566488095238095
3.0,0.34484126984126984
4.0,0.33210119047619047
5.0,0.32183730158730156
6.0,0.3094980158730159
7.0,0.2973849206349206
8.0,0.2867638888888889
9.0,0.27839484126984126
10.0,0.26911904761904765
11.0,0.2604543650793651
12.0,0.253875
13.0,0.246390873015873
14.0,0.24121428571428571
15.0,0.23547420634920635
16.0,0.23381944444444444
17.0,0.2288888888888889
18.0,0.22590079365079366
19.0,0.22432936507936507
20.0,0.222625
