EbN0_dB,BER
0.0,0.3984375
1.0,0.38879761904761906
2.0,0.38078125
3.0,0.37261607142857145
4.0,0.36257589285714287
5.0,0.35428422619047617
6.0,0.3465729166666667
7.0,0.33880059523809525
8.0,0.33098809523809525
9.0,0.3260223214285714
10.0,0.3183779761904762
11.0,0.3148705357142857
12.0,0.3095297619047619
13.0,0.30636160714285715
14.0,0.30166220238095237
15.0,0.29869196428571426
16.0,0.29720684523809526
17.0,0.2943080357142857
18.0,0.29318154761904763
19.0,0.29128125
20.0,0.2900327380952381
